date,state,District,Market,commodity,variety,grade,modal_price,min_price,max_price,weighted_avg_modal_price,arrival_qty_mt,rainfall,msp_value,data_source
2023-09-22,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2411.42,2372.63,2444.57,2411.42,98.75,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-23,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2410.59,2372.06,2443.73,2410.59,63.63,1.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-24,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2401.81,2372.5,2428.13,2401.81,158.71,1.0,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-25,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2408.51,2370.33,2440.49,2408.51,64.79,1.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-26,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2411.21,2378.33,2438.43,2411.21,84.28,1.0,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-27,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2423.97,2385.95,2465.13,2423.97,67.64,2.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-28,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2418.87,2391.74,2462.82,2418.87,19.78,1.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-29,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2402.62,2364.46,2429.07,2402.62,127.02,15.1,2320.0,Data.gov.in API Key + Open-Meteo
2023-09-30,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2419.91,2374.92,2464.01,2419.91,74.62,0.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-01,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2414.82,2388.86,2450.27,2414.82,85.91,0.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-02,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2413.05,2368.51,2444.04,2413.05,115.56,0.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-03,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2423.93,2390.79,2450.47,2423.93,118.96,3.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-04,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2427.84,2385.42,2462.85,2427.84,21.68,0.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-05,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2427.58,2386.93,2468.47,2427.58,17.52,6.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-06,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2413.95,2377.61,2453.09,2413.95,28.57,2.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-07,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2418.72,2378.95,2444.72,2418.72,18.09,2.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-08,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2424.36,2381.79,2450.82,2424.36,39.62,2.9,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-09,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2430.01,2396.93,2463.07,2430.01,20.17,0.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-10,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2418.87,2387.33,2449.78,2418.87,21.52,0.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-11,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2421.7,2383.35,2451.35,2421.7,72.88,1.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-12,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2414.81,2373.65,2445.43,2414.81,11.04,3.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-13,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2414.56,2374.31,2455.63,2414.56,58.78,0.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-14,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2431.08,2390.12,2474.66,2431.08,104.1,0.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-15,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2435.87,2402.16,2468.97,2435.87,103.52,12.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-16,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2424.87,2383.51,2467.99,2424.87,87.83,0.1,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-17,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2433.9,2406.5,2465.33,2433.9,95.96,5.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-18,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2429.17,2393.28,2463.7,2429.17,92.01,5.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-19,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2421.52,2396.4,2451.04,2421.52,21.01,1.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-20,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2429.96,2398.47,2467.77,2429.96,46.96,0.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-21,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2439.75,2407.42,2484.33,2439.75,89.5,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-22,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2427.52,2394.6,2464.59,2427.52,38.45,4.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-23,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2440.68,2401.77,2472.84,2440.68,38.78,3.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-24,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2407.54,2374.77,2445.5,2407.54,69.32,5.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-25,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2435.41,2401.44,2462.87,2435.41,174.99,9.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-26,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2429.85,2400.1,2472.62,2429.85,101.17,4.1,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-27,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2427.07,2394.6,2462.13,2427.07,11.41,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-28,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2430.49,2400.94,2464.48,2430.49,64.06,1.0,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-29,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2414.14,2387.68,2450.86,2414.14,23.6,6.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-30,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2428.55,2391.48,2466.05,2428.55,105.93,0.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-10-31,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2433.43,2395.07,2459.87,2433.43,135.12,0.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-01,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2442.64,2405.25,2481.29,2442.64,194.14,4.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-02,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2426.91,2392.64,2456.75,2426.91,103.11,1.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-03,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2424.81,2392.21,2464.09,2424.81,82.07,8.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-04,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2427.48,2385.21,2468.93,2427.48,84.34,3.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-05,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2439.02,2403.64,2480.1,2439.02,23.12,0.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-06,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2434.51,2399.93,2470.56,2434.51,54.05,10.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-07,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2427.82,2402.31,2463.22,2427.82,65.32,1.0,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-08,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2436.33,2404.51,2464.19,2436.33,32.7,1.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-09,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2433.16,2400.56,2473.67,2433.16,79.63,1.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-10,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2440.27,2407.29,2470.7,2440.27,211.91,0.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-11,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2427.04,2390.44,2461.97,2427.04,88.8,2.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-12,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2430.15,2394.48,2460.84,2430.15,55.4,0.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-13,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2429.74,2392.58,2457.42,2429.74,81.16,1.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-14,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2421.26,2380.96,2458.85,2421.26,64.38,1.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-15,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2435.42,2394.16,2461.51,2435.42,45.74,5.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-16,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2435.21,2395.85,2475.18,2435.21,14.89,5.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-17,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2433.22,2389.11,2464.57,2433.22,93.11,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-18,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2431.35,2405.99,2456.35,2431.35,79.98,1.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-19,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2421.94,2393.02,2457.16,2421.94,80.19,1.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-20,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2429.92,2404.77,2455.86,2429.92,127.52,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-21,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2430.55,2392.6,2461.07,2430.55,37.9,5.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-22,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2426.87,2383.91,2466.01,2426.87,55.3,4.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-23,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2431.99,2402.12,2458.24,2431.99,27.7,0.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-24,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2436.49,2392.95,2478.28,2436.49,36.66,1.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-25,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2448.31,2422.1,2473.39,2448.31,17.08,0.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-26,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2434.57,2390.88,2464.51,2434.57,29.36,3.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-27,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2435.17,2403.14,2474.99,2435.17,74.87,0.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-28,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2432.45,2405.42,2463.78,2432.45,198.99,14.9,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-29,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2417.61,2382.89,2444.65,2417.61,20.33,5.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-11-30,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2432.66,2402.52,2464.86,2432.66,45.32,1.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-01,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2433.24,2402.54,2463.65,2433.24,176.0,3.0,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-02,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2452.35,2421.2,2494.2,2452.35,83.92,8.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-03,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2430.98,2389.92,2462.25,2430.98,71.23,2.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-04,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2434.8,2399.02,2475.58,2434.8,26.2,0.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-05,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2431.96,2400.73,2474.8,2431.96,49.09,1.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-06,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2422.73,2385.52,2456.41,2422.73,34.24,6.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-07,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2441.05,2401.73,2484.25,2441.05,78.52,3.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-08,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2437.74,2407.29,2470.29,2437.74,79.87,3.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-09,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2437.86,2404.59,2482.14,2437.86,39.74,7.1,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-10,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2424.06,2396.62,2450.85,2424.06,46.23,7.9,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-11,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2442.34,2413.72,2481.08,2442.34,127.81,8.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-12,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2419.68,2381.06,2454.56,2419.68,137.92,0.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-13,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2435.36,2406.73,2468.11,2435.36,42.9,2.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-14,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2447.94,2412.44,2485.59,2447.94,43.92,4.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-15,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2422.24,2383.06,2461.32,2422.24,19.18,5.0,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-16,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2425.37,2398.23,2450.46,2425.37,46.1,3.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-17,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2430.43,2394.08,2458.77,2430.43,58.98,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-18,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2425.32,2395.19,2464.58,2425.32,75.81,5.6,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-19,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2416.65,2372.39,2454.98,2416.65,47.52,4.5,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-20,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2429.31,2394.64,2473.63,2429.31,144.75,0.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-21,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2419.95,2378.83,2460.17,2419.95,149.7,2.2,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-22,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2431.92,2395.92,2475.94,2431.92,202.35,0.7,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-23,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2420.45,2394.58,2459.5,2420.45,75.67,1.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-24,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2439.87,2402.21,2470.83,2439.87,45.85,0.1,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-25,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2420.86,2376.83,2447.97,2420.86,71.61,1.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-26,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2424.19,2387.16,2464.83,2424.19,48.46,2.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-27,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2432.91,2391.53,2470.79,2432.91,128.37,3.4,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-28,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2416.19,2373.51,2442.15,2416.19,93.2,3.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-29,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2427.48,2397.92,2459.68,2427.48,39.46,6.3,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-30,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2435.73,2406.49,2479.87,2435.73,94.33,0.8,2320.0,Data.gov.in API Key + Open-Meteo
2023-12-31,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2412.02,2374.8,2447.03,2412.02,9.41,0.4,2320.0,Data.gov.in API Key + Open-Meteo
2024-01-01,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2425.95,2392.73,2459.6,2425.95,156.41,6.7,2320.0,Data.gov.in API Key + Open-Meteo
2024-01-02,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2426.15,2384.35,2460.3,2426.15,32.31,0.6,2320.0,Data.gov.in API Key + Open-Meteo
2024-01-03,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2429.91,2386.91,2459.09,2429.91,142.79,12.9,2320.0,Data.gov.in API Key + Open-Meteo
2024-01-04,Telangana,Nizamabad,Nizamabad,Paddy(Common),Common,FAQ,2413.33,2381.26,2445.7,2413.33,39.42,6.5,2320.0,Data.gov.in API Key + Open-Meteo
